City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,Dudinka,69.4058,86.1778,-16.38,97,100,11.99,RU,2023-12-11 02:50:06
157,Cabo San Lucas,22.8909,-109.9124,77.76,60,0,4.61,MX,2023-12-11 02:47:04
158,Zheshart,62.0731,49.5733,-4.4,92,100,8.48,RU,2023-12-11 02:50:02
159,Afaahiti,-17.75,-149.2833,85.87,81,69,24.74,PF,2023-12-11 02:49:52
160,Twon-Brass,4.3151,6.2418,81.61,78,51,10.02,NG,2023-12-11 02:51:28
161,Papatowai,-46.5619,169.4708,63.48,42,87,14.07,NZ,2023-12-11 02:49:44
162,Conde,-7.2597,-34.9075,76.46,88,20,2.3,BR,2023-12-11 02:51:28
163,Kerikeri,-35.2268,173.9474,69.55,57,80,5.01,NZ,2023-12-11 02:51:28
164,Thompson,55.7435,-97.8558,5.16,85,100,2.3,CA,2023-12-11 02:49:31
165,Cleveland,41.4995,-81.6954,39.07,88,100,11.5,US,2023-12-11 02:49:32
166,Aquidauana,-20.4711,-55.7872,72.61,95,100,4.23,BR,2023-12-11 02:51:29
167,Port Shepstone,-30.7414,30.455,67.33,81,100,4.99,ZA,2023-12-11 02:51:29
168,Wichita Falls,33.9137,-98.4934,42.26,46,0,10.36,US,2023-12-11 02:51:29
169,Filadelfia,39.9523,-75.1638,57.67,94,100,3.0,US,2023-12-11 02:49:00
170,Itoman,26.1247,127.6694,81.37,72,75,12.66,JP,2023-12-11 02:51:29
171,Port Alfred,-33.5906,26.891,62.19,95,26,4.0,ZA,2023-12-11 02:49:38
172,Susuman,62.7833,148.1667,-7.02,96,95,5.01,RU,2023-12-11 02:49:55
173,Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,3.56,86,100,12.8,RU,2023-12-11 02:51:29
174,Abu Dhabi,24.4667,54.3667,76.95,66,0,4.61,AE,2023-12-11 02:49:50
175,Betio Village,1.358,172.9211,84.24,76,100,6.67,KI,2023-12-11 02:49:55
176,Sinop,41.7711,34.8709,42.75,81,100,7.16,TR,2023-12-11 02:51:30
177,Sisimiut,66.9395,-53.6735,24.75,88,100,11.83,GL,2023-12-11 02:49:50
178,Morehead City,34.7229,-76.726,65.03,87,100,8.05,US,2023-12-11 02:51:30
179,Yuzhno-Kurilsk,44.0306,145.8556,33.37,76,86,19.51,RU,2023-12-11 02:50:11
180,Stanley,54.868,-1.6985,41.29,96,75,5.75,GB,2023-12-11 02:49:33
181,Utrik,11.2278,169.8474,80.98,77,87,19.33,MH,2023-12-11 02:49:39
182,Maquoketa,42.0689,-90.6657,26.91,66,1,4.59,US,2023-12-11 02:51:30
183,Egilsstadir,65.2653,-14.3948,21.11,93,75,2.3,IS,2023-12-11 02:49:29
184,Trapani,37.8333,12.6667,55.49,94,0,5.75,IT,2023-12-11 02:51:30
